RU;38;206;TransparentCalls;0.67;263;81;43
US;87;717;E-Voice;0.91;746;79;59
GB;3;705;TransparentCalls;0.74;336;75;10
FR;94;1904;TransparentCalls;0.76;557;68;13
BL;56;1137;E-Voice;0.79;189;16;41
AT;60;1090;TransparentCalls;1.00;467;26;55
BG;87;1622;E-Voice;0.65;405;47;17
DK;33;32;JustPhone;0.62;700;34;58
CA;40;1230;JustPhone;0.64;769;65;18
ES;33;1422;E-Voice;0.70;542;87;34
CH;22;448;JustPhone;0.93;736;0;36
TR;97;1715;TransparentCalls;0.70;43;14;49
PE;53;1712;JustPhone;0.93;501;70;25
NZ;40;1532;JustPhone;0.92;769;79;40
MC;12;1288;E-Voice;0.82;906;62;55
